dep_var,inters_var,coef,se,pval,aster,ci_low,ci_high,tbl_no,r_sqr,model_type,country
Crop Rotation,Aspirations,0.024,0.01,0.019,**,0.004,0.044,2,,,
Intercropping,Aspirations,-0.021,0.014,0.133,,-0.049,0.007,2,,,
Fallowing,Aspirations,0.005,0.009,0.605,,-0.013,0.022,2,,,
OSA,Aspirations,0.029,0.012,0.022,**,0.004,0.053,2,,,
Crop Rotation,Aspiration gap (0-1),0.569,0.271,0.04,**,0.027,1.11,3,,,
Crop Rotation,Gap squared (0-1),-0.456,0.244,0.065,*,-0.943,0.03,3,,,
Intercropping,Aspiration gap (0-1),1.218,0.325,0,***,0.57,1.867,3,,,
Intercropping,Gap squared (0-1),-1.208,0.294,0,***,-1.795,-0.621,3,,,
Fallowing,Aspiration gap (0-1),0.631,0.25,0.014,**,0.133,1.129,3,,,
Fallowing,Gap squared (0-1),-0.53,0.212,0.015,**,-0.954,-0.106,3,,,
OSA,Aspiration gap (0-1),0.419,0.266,0.12,,-0.111,0.948,3,,,
OSA,Gap squared (0-1),-0.291,0.227,0.204,,-0.744,0.161,3,,,
Crop Rotation,Aspirations,0.024,0.01,0.024,**,0.003,0.044,4,,,Cameroon
Intercropping,Aspirations,-0.019,0.016,0.241,,-0.051,0.013,4,,,Cameroon
Fallowing,Aspirations,0.007,0.009,0.457,,-0.012,0.026,4,,,Cameroon
OSA,Aspirations,0.022,0.012,0.081,*,-0.003,0.047,4,,,Cameroon
Crop Rotation,Aspirations,0.021,0.034,0.535,,-0.048,0.09,4,,,Kenya
Intercropping,Aspirations,-0.007,0.038,0.856,,-0.084,0.07,4,,,Kenya
Fallowing,Aspirations,-0.001,0.023,0.981,,-0.047,0.046,4,,,Kenya
OSA,Aspirations,0.045,0.035,0.207,,-0.026,0.117,4,,,Kenya
Crop Rotation,Aspiration gap (0-1),0.51,0.304,0.102,,-0.107,1.126,5,,,Cameroon
Crop Rotation,Gap squared (0-1),-0.494,0.295,0.103,,-1.093,0.105,5,,,Cameroon
Intercropping,Aspiration gap (0-1),1.127,0.375,0.005,***,0.366,1.887,5,,,Cameroon
Intercropping,Gap squared (0-1),-1.138,0.333,0.002,***,-1.813,-0.463,5,,,Cameroon
Fallowing,Aspiration gap (0-1),0.677,0.311,0.037,**,0.045,1.309,5,,,Cameroon
Fallowing,Gap squared (0-1),-0.667,0.296,0.031,**,-1.267,-0.066,5,,,Cameroon
OSA,Aspiration gap (0-1),0.364,0.288,0.214,,-0.22,0.947,5,,,Cameroon
OSA,Gap squared (0-1),-0.301,0.252,0.24,,-0.813,0.211,5,,,Cameroon
Crop Rotation,Aspiration gap (0-1),0.916,0.529,0.092,*,-0.159,1.991,5,,,Kenya
Crop Rotation,Gap squared (0-1),-0.654,0.437,0.143,,-1.542,0.233,5,,,Kenya
Intercropping,Aspiration gap (0-1),0.897,0.544,0.108,,-0.208,2.002,5,,,Kenya
Intercropping,Gap squared (0-1),-0.807,0.454,0.084,*,-1.73,0.116,5,,,Kenya
Fallowing,Aspiration gap (0-1),0.555,0.431,0.206,,-0.32,1.43,5,,,Kenya
Fallowing,Gap squared (0-1),-0.346,0.31,0.272,,-0.975,0.284,5,,,Kenya
OSA,Aspiration gap (0-1),0.717,0.565,0.213,,-0.43,1.865,5,,,Kenya
OSA,Gap squared (0-1),-0.515,0.48,0.291,,-1.489,0.46,5,,,Kenya
Crop Rotation,Aspirations,0.216,0.037,0,***,0.144,0.289,6,,,
Intercropping,Aspirations,-0.059,0.042,0.158,,-0.142,0.023,6,,,
Fallowing,Aspirations,0.046,0.03,0.127,,-0.013,0.105,6,,,
OSA,Aspirations,0.125,0.047,0.008,***,0.033,0.217,6,,,
Crop Rotation,Aspiration gap (0-1),0.373,0.879,0.671,,-1.35,2.097,7,,,
Crop Rotation,Gap squared (0-1),0.125,0.776,0.872,,-1.396,1.646,7,,,
Intercropping,Aspiration gap (0-1),3.829,0.972,0,***,1.924,5.735,7,,,
Intercropping,Gap squared (0-1),-3.805,0.887,0,***,-5.543,-2.068,7,,,
Fallowing,Aspiration gap (0-1),1.783,0.903,0.048,**,0.014,3.552,7,,,
Fallowing,Gap squared (0-1),-1.413,0.747,0.059,*,-2.877,0.051,7,,,
OSA,Aspiration gap (0-1),1.429,1.04,0.169,,-0.609,3.468,7,,,
OSA,Gap squared (0-1),-0.91,0.85,0.284,,-2.577,0.757,7,,,
Crop Rotation,Aspirations,0.077,0.012,0,***,0.054,0.1,8,,,
Intercropping,Aspirations,-0.019,0.014,,,-0.046,0.007,8,,,
Fallowing,Aspirations,0.014,0.009,0,,-0.004,0.031,8,,,
OSA,Aspirations,0.038,0.014,0.007,**,0.01,0.066,8,,,
Crop Rotation,Aspiration gap (0-1),0.14,0.33,0.671,,-0.507,0.787,9,,,
Crop Rotation,Gap squared (0-1),0.047,0.291,0.872,,-0.524,0.618,9,,,
Intercropping,Aspiration gap (0-1),1.2,0.293,0,***,0.627,1.774,9,,,
Intercropping,Gap squared (0-1),-1.193,0.264,0,***,-1.71,-0.675,9,,,
Fallowing,Aspiration gap (0-1),0.533,0.268,0.046,**,0.009,1.057,9,,,
Fallowing,Gap squared (0-1),-0.422,0.221,0.056,*,-0.855,0.011,9,,,
OSA,Aspiration gap (0-1),0.44,0.319,0.167,,-0.184,1.065,9,,,
OSA,Gap squared (0-1),-0.28,0.261,0.283,,-0.792,0.231,9,,,
